"STATUS";"Order";"Art No";"Description";"Rcv";"Rcv Type";"RcvCty";"SL";"Act Order";"Plan Date";"TotOrd";"TotBal";"TotDsp";"TotBook";"Orig Date";"L";"T";"Rcvd Date";"Tot Csm Qty";"Order2";"Transit";"EndRcv";"EndRcvType";"EndRcvCty";"ITMOrdPlan";"LatestStockAvailDate";"StockAvailDate";"VmrOrdRefNo";"DelInd";"OrdSrc"
Conf;7200000800;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;002;DT;AE;9;N;22-Jul-2025;12;0;0;12;22-Jul-2025;1;ZNB;25-Jul-2025;12;;Y;004;DT;;N;;; ;;DSP
Conf;7200000800;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;002;DT;AE;9;N;25-Jul-2025;12;0;0;12;25-Jul-2025;1;ZNB;25-Jul-2025;12;;Y;004;DT;;N;;; ;;DSP
Conf;7200000809;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;002;DT;AE;9;N;25-Jul-2025;24;0;12;12;25-Jul-2025;2;ZNB;25-Jul-2025;24;;Y;004;DT;;N;;; ;;DSP
Conf;7200000821;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;002;DT;AE;9;N;25-Jul-2025;12;0;0;12;25-Jul-2025;1;ZVMR;25-Jul-2025;12;;Y;039;STO;CA;N;;;232310000211;;DSP
Conf;7200000910;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;002;DT;AE;9;N;25-Jul-2025;12;0;0;12;25-Jul-2025;1;ZVMR;31-Jul-2025;12;;Y;039;STO;CA;N;;;232310000220;;DSP
Conf;7200000910;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;002;DT;AE;9;N;31-Jul-2025;12;0;0;12;31-Jul-2025;1;ZVMR;31-Jul-2025;12;;Y;039;STO;CA;N;;;232310000220;;DSP
Conf;7200000911;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;002;DT;AE;9;N;31-Jul-2025;24;0;12;12;31-Jul-2025;2;ZVMR;31-Jul-2025;24;;Y;039;STO;CA;N;;;232310000222;;DSP
Conf;7200000912;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;002;DT;AE;9;N;31-Jul-2025;24;0;12;12;31-Jul-2025;2;ZVMR;31-Jul-2025;24;;Y;039;STO;CA;N;;;232310000223;;DSP
Conf;7400000114;20347547;;404;STO;NL;9;N;29-Oct-2025;12;12;0;0;29-Oct-2025;1;ZVMR;27-Oct-2025;0;;N;404;STO;NL;N;;;11120789555;;ISOM
Conf;7400000114;60347550;;404;STO;NL;9;N;29-Oct-2025;12;12;0;0;29-Oct-2025;1;ZVMR;27-Oct-2025;0;;N;404;STO;NL;N;;;11120789555;;ISOM
Conf;7400000115;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;9;N;29-Oct-2025;24;24;0;0;29-Oct-2025;2;ZVMR;27-Oct-2025;0;;N;004;STO;CA;N;;;11120789666;;ISOM
Conf;7400000130;20347547;;404;STO;NL;9;N;25-Nov-2025;12;12;0;0;25-Nov-2025;1;ZVMR;24-Nov-2025;0;;N;404;STO;NL;N;;;11120789503;;ISOM
Conf;7400000130;60347550;;404;STO;NL;9;N;28-Jul-2025;12;12;0;0;28-Jul-2025;1;ZVMR;24-Nov-2025;0;;N;404;STO;NL;N;;;11120789503;;ISOM
Conf;7500000129;00038159;CRASSULA OVATA potted plant 6 " Money tree NA;404;STO;NL;9;N;28-Jul-2025;6;6;0;0;28-Jul-2025;1;ZVMR;26-Nov-2025;0;;N;404;STO;NL;N;;;11120789503;;ISOM
Conf;7500000132;00038159;CRASSULA OVATA potted plant 6 " Money tree NA;002;DT;AE;9;N;28-Jul-2025;12;0;0;12;28-Jul-2025;1;ZNB;26-Nov-2025;12;;N;002;DT;AE;N;;;;;ISOM
Conf;7500000134;00038159;CRASSULA OVATA potted plant 6 " Money tree NA;002;DT;AE;9;N;28-Jul-2025;12;0;0;12;28-Jul-2025;1;ZNB;26-Nov-2025;12;;N;002;DT;AE;N;;;;;ISOM
Conf;7500000139;00038159;CRASSULA OVATA potted plant 6 " Money tree NA;002;DT;AE;9;N;27-Nov-2025;24;0;0;24;27-Nov-2025;2;ZNB;27-Nov-2025;24;;N;002;DT;AE;N;;;;;ISOM
Conf;7500000141;00038159;CRASSULA OVATA potted plant 6 " Money tree NA;002;DT;AE;9;N;28-Nov-2025;12;0;0;12;28-Nov-2025;1;ZNB;28-Nov-2025;12;;N;002;DT;AE;N;;;;;ISOM
Conf;7500000141;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;002;DT;AE;9;N;28-Nov-2025;12;0;0;12;28-Nov-2025;1;ZNB;28-Nov-2025;12;;N;002;DT;AE;N;;;;;ISOM
Conf;7500000144;00038159;CRASSULA OVATA potted plant 6 " Money tree NA;002;DT;AE;9;N;01-Dec-2025;12;0;0;12;01-Dec-2025;1;ZNB;01-Dec-2025;12;;N;002;DT;AE;N;;;;;ISOM
Conf;7500000145;00038159;CRASSULA OVATA potted plant 6 " Money tree NA;002;DT;AE;9;N;01-Dec-2025;12;0;0;12;01-Dec-2025;1;ZNB;01-Dec-2025;12;;N;002;DT;AE;N;;;;;ISOM
Conf;7500000149;00038159;CRASSULA OVATA potted plant 6 " Money tree NA;002;DT;AE;9;N;01-Dec-2025;12;0;0;12;01-Dec-2025;1;ZNB;01-Dec-2025;12;;N;002;DT;AE;N;;;;;ISOM
Conf;7500000150;00038159;CRASSULA OVATA potted plant 6 " Money tree NA;002;DT;AE;9;N;01-Dec-2025;12;0;0;12;01-Dec-2025;1;ZNB;01-Dec-2025;12;;N;002;DT;AE;N;;;;;ISOM
Conf;7500000151;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;002;DT;AE;9;N;01-Dec-2025;24;0;0;24;01-Dec-2025;2;ZNB;03-Dec-2025;24;;N;002;DT;AE;N;;;;;ISOM
Conf;7500000153;00038159;CRASSULA OVATA potted plant 6 " Money tree NA;002;DT;AE;9;N;03-Dec-2025;12;0;0;12;03-Dec-2025;1;ZNB;03-Dec-2025;12;;N;002;DT;AE;N;;;;;ISOM
Conf;7500000155;00038159;CRASSULA OVATA potted plant 6 " Money tree NA;002;DT;AE;9;N;03-Dec-2025;12;0;0;12;03-Dec-2025;1;ZNB;03-Dec-2025;12;;N;002;DT;AE;N;;;;;ISOM
Conf;7500000160;00038159;CRASSULA OVATA potted plant 6 " Money tree NA;002;DT;AE;9;N;04-Dec-2025;12;0;0;12;04-Dec-2025;1;ZNB;04-Dec-2025;12;;N;002;DT;AE;N;;;;;ISOM
Conf;7500000176;00038159;CRASSULA OVATA potted plant 6 " Money tree NA;002;DT;AE;9;N;27-Nov-2025;24;24;0;0;27-Nov-2025;2;ZDEN;02-Jan-2026;0;;N;002;DT;AE;N;;;;;ISOM
Conf;7500000177;00038159;CRASSULA OVATA potted plant 6 " Money tree NA;002;DT;AE;9;N;02-Jan-2026;24;24;0;0;02-Jan-2026;2;ZCEN;02-Jan-2026;0;;N;002;DT;AE;N;;;;;ISOM
Conf;7500000200;00038159;CRASSULA OVATA potted plant 6 " Money tree NA;002;DT;AE;9;N;08-Jan-2026;24;24;0;0;08-Jan-2026;2;ZCEN;09-Jan-2026;0;;N;002;DT;AE;N;;;;;01
Conf;7500000201;00038159;CRASSULA OVATA potted plant 6 " Money tree NA;002;DT;AE;9;N;08-Jan-2026;24;24;0;0;08-Jan-2026;2;ZCEN;09-Jan-2026;0;;N;002;DT;AE;N;;;;;00
Conf;7500000202;00038159;CRASSULA OVATA potted plant 6 " Money tree NA;002;DT;AE;9;N;08-Jan-2026;24;24;0;0;08-Jan-2026;2;ZCEN;09-Jan-2026;0;;N;002;DT;AE;N;;;;;02
Conf;7500000209;00038159;CRASSULA OVATA potted plant 6 " Money tree NA;002;DT;AE;9;N;08-Jan-2026;24;24;0;0;08-Jan-2026;2;ZNB;13-Jan-2026;0;;N;002;DT;AE;N;;;;;00
